department,page_url,number
나노반도체공정장비계약학과,https://u-spec.pusan.ac.kr/u-spec/71319/subview.do,42
교육혁신전공/AI융합교육전공,https://gsedu.pusan.ac.kr/gsedu/26088/subview.do,486
치의학전문대학원,https://dent.pusan.ac.kr/newdent/11881/subview.do,459
치의학전문대학원(기타),https://dent.pusan.ac.kr/newdent/53492/subview.do,4
한의학전문대학원,https://kmed.pusan.ac.kr/kmed/13885/subview.do,489
한의학전문대학원(기타),https://kmed.pusan.ac.kr/kmed/13887/subview.do,81
한의학전문대학원(취업),https://kmed.pusan.ac.kr/kmed/54499/subview.do,23
약학과(학부),https://pharmacy.pusan.ac.kr/pharmacy/13582/subview.do,1778
약학과(대학원),https://pharmacy.pusan.ac.kr/pharmacy/49158/subview.do,334
간호학과(학부),https://nursing.pusan.ac.kr/nursing/14523/subview.do,1161
간호학과(대학원),https://nursing.pusan.ac.kr/nursing/14524/subview.do,2351
간호학과(취업),https://nursing.pusan.ac.kr/nursing/49322/subview.do,116
법학과일반대학원,https://collegeoflaw.pusan.ac.kr/collegeoflaw/19583/subview.do,1308
법학과일반대학원(자유),https://collegeoflaw.pusan.ac.kr/collegeoflaw/19584/subview.do,191
법학과일반대학원(취업),https://collegeoflaw.pusan.ac.kr/collegeoflaw/19585/subview.do,216
법학전문대학원,https://law.pusan.ac.kr/law/19751/subview.do,4771
법학전문대학원(취업),https://law.pusan.ac.kr/law/19753/subview.do,1396
