page_url,number
https://mathedu.pusan.ac.kr/mathedu/15093/subview.do,3355
https://mathedu.pusan.ac.kr/mathedu/15097/subview.do,2334
https://mathedu.pusan.ac.kr/mathedu/15098/subview.do,3594
https://physedu.pusan.ac.kr/physedu/16992/subview.do,2883
https://physedu.pusan.ac.kr/physedu/21673/subview.do,277
https://chemedu.pusan.ac.kr/chemedu/20618/subview.do,1330
https://edubio.pusan.ac.kr/edubio/21256/subview.do,1620
https://edubio.pusan.ac.kr/edubio/21266/subview.do,39
https://earth.pusan.ac.kr/earth/23354/subview.do,398
https://earth.pusan.ac.kr/earth/23355/subview.do,282
https://physicaledu.pusan.ac.kr/physicaledu/21846/subview.do,330
https://nano.pusan.ac.kr/nano/14200/subview.do,2309
https://nano.pusan.ac.kr/nano/14201/subview.do,140
https://nanomecha.pusan.ac.kr/nanomecha/16506/subview.do,861
https://nanomecha.pusan.ac.kr/nanomecha/16508/subview.do,401
https://nanomecha.pusan.ac.kr/nanomecha/16509/subview.do,273
https://energy.pusan.ac.kr/energy/15619/subview.do,971
https://energy.pusan.ac.kr/energy/15620/subview.do,422
https://energy.pusan.ac.kr/energy/15621/subview.do,291
https://ome.pusan.ac.kr/ome/16652/subview.do,837
https://ome.pusan.ac.kr/ome/16653/subview.do,380
https://ome.pusan.ac.kr/ome/16654/subview.do,358
https://econtr.pusan.ac.kr/econtr/14430/subview.do,149
https://pnutrade.pusan.ac.kr/pnutrade/16955/subview.do,2818
https://pnutrade.pusan.ac.kr/pnutrade/16956/subview.do,1021
https://pnutrade.pusan.ac.kr/pnutrade/16958/subview.do,774
https://pnuecon.pusan.ac.kr/pnuecon/16317/subview.do,157
https://pnuecon.pusan.ac.kr/pnuecon/33043/subview.do,36
https://convention.pusan.ac.kr/convention/16780/subview.do,1202
https://convention.pusan.ac.kr/convention/40386/subview.do,316
https://convention.pusan.ac.kr/convention/16781/subview.do,655
